retraite_garantie_secondaire	/group/bicolor_retraite/raw/	/group/bicolor_retraite/data/retraite_garantie_secondaire	/yyyy/mm/dd	root	TAIGAAXA_BI_GSE_yyyymmdd.csv	ISO-8859-1	;	\n	D	F	yes	yes	bicolor	bicolor_retraite	1.1		T-bicolor_retraite-root			Référentiel/Gestion	Garanties secondaires			FE_GarantieSecondaire				
retraite_gestion_financiere	/group/bicolor_retraite/raw/	/group/bicolor_retraite/data/retraite_gestion_financiere	/yyyy/mm/dd	root	TAIGAAXA_BI_GFI_yyyymmdd.csv	ISO-8859-1	;	\n	D	F	yes	yes	bicolor	bicolor_retraite	1.1		T-bicolor_retraite-root			Référentiel/Gestion	Gestions Financières			FE_GestionFinanciere				
retraite_gestion_pilotee	/group/bicolor_retraite/raw/	/group/bicolor_retraite/data/retraite_gestion_pilotee	/yyyy/mm/dd	root	TAIGAAXA_BI_GPI_yyyymmdd.csv	ISO-8859-1	;	\n	D	F	yes	yes	bicolor	bicolor_retraite	1.1		T-bicolor_retraite-root			Référentiel/Gestion	Gestions Pilotées			FE_GestionPilotée				
retraite_lien_reseau	/group/bicolor_retraite/raw/	/group/bicolor_retraite/data/retraite_lien_reseau	/yyyy/mm/dd	root	TAIGAAXA_BI_APP_yyyymmdd.csv	ISO-8859-1	;	\n	D	F	yes	yes	bicolor	bicolor_retraite	1.1		T-bicolor_retraite-root			Référentiel/Gestion	Lien Réseau			FE_LienRéseau				
retraite_mouvement	/group/bicolor_retraite/raw/	/group/bicolor_retraite/data/retraite_mouvement	/yyyy/mm/dd	root	TAIGAAXA_BI_MVT_yyyymmdd.csv	ISO-8859-1	;	\n	D	D	yes	yes	bicolor	bicolor_retraite	1.1		T-bicolor_retraite-root			Référentiel/Gestion	Mouvements			FE_Mouvement				
retraite_operation_financiere	/group/bicolor_retraite/raw/	/group/bicolor_retraite/data/retraite_operation_financiere	/yyyy/mm/dd	root	TAIGAAXA_BI_OPE_yyyymmdd.csv	ISO-8859-1	;	\n	D	D	yes	yes	bicolor	bicolor_retraite	1.1		T-bicolor_retraite-root			Référentiel/Gestion	Opérations financières			FE_OpérationFinancière				
retraite_option_rente	/group/bicolor_retraite/raw/	/group/bicolor_retraite/data/retraite_option_rente	/yyyy/mm/dd	root	TAIGAAXA_BI_REN_yyyymmdd.csv	ISO-8859-1	;	\n	D	F	yes	yes	bicolor	bicolor_retraite	1.1		T-bicolor_retraite-root			Référentiel/Gestion	Options de rente			FE_OptionRente				
retraite_plan_versement	/group/bicolor_retraite/raw/	/group/bicolor_retraite/data/retraite_plan_versement	/yyyy/mm/dd	root	TAIGAAXA_BI_PLV_yyyymmdd.csv	ISO-8859-1	;	\n	D	F	yes	yes	bicolor	bicolor_retraite	1.1		T-bicolor_retraite-root			Référentiel/Gestion	Plan de versement			FE_PlanVersement				
retraite_pm_inventaire	/group/bicolor_retraite/raw/	/group/bicolor_retraite/data/retraite_pm_inventaire	/yyyy/mm/dd	root	TAIGAAXA_BI_PMI_yyyymmdd.csv	ISO-8859-1	;	\n	M	D	yes	yes	bicolor	bicolor_retraite	1.1		T-bicolor_retraite-root			Inventaire	PM Inventaire			FE_PMInventaire				
retraite_prime_versee	/group/bicolor_retraite/raw/	/group/bicolor_retraite/data/retraite_prime_versee	/yyyy/mm/dd	root	TAIGAAXA_BI_PRI_yyyymmdd.csv	ISO-8859-1	;	\n	D	D	yes	yes	bicolor	bicolor_retraite	1.1		T-bicolor_retraite-root			Référentiel/Gestion	Primes versées			FE_PrimeVersée				
retraite_produit	/group/bicolor_retraite/raw/	/group/bicolor_retraite/data/retraite_produit	/yyyy/mm/dd	root	TAIGAAXA_BI_PRD_yyyymmdd.csv	ISO-8859-1	;	\n	D	F	yes	yes	bicolor	bicolor_retraite	1.1		T-bicolor_retraite-root			Référentiel/Gestion	Produit			FE_Produit				
retraite_provision_mathematique	/group/bicolor_retraite/raw/	/group/bicolor_retraite/data/retraite_provision_mathematique	/yyyy/mm/dd	root	TAIGAAXA_BI_PMA_yyyymmdd.csv	ISO-8859-1	;	\n	D	D	yes	yes	bicolor	bicolor_retraite	1.1		T-bicolor_retraite-root			Référentiel/Gestion	Provision Mathématique			FE_ProvisionMathématique				
retraite_support	/group/bicolor_retraite/raw/	/group/bicolor_retraite/data/retraite_support	/yyyy/mm/dd	root	TAIGAAXA_BI_SUP_yyyymmdd.csv	ISO-8859-1	;	\n	D	F	yes	yes	bicolor	bicolor_retraite	1.1		T-bicolor_retraite-root			Référentiel/Gestion	Supports			FE_Support				
retraite_tarification	/group/bicolor_retraite/raw/	/group/bicolor_retraite/data/retraite_tarification	/yyyy/mm/dd	root	TAIGAAXA_BI_TAR_yyyymmdd.csv	ISO-8859-1	;	\n	D	F	yes	yes	bicolor	bicolor_retraite	1.1		T-bicolor_retraite-root			Référentiel/Gestion	Tarification			FE_Tarification				
retraite_taux_support	/group/bicolor_retraite/raw/	/group/bicolor_retraite/data/retraite_taux_support	/yyyy/mm/dd	root	TAIGAAXA_BI_STX_yyyymmdd.csv	ISO-8859-1	;	\n	D	F	yes	yes	bicolor	bicolor_retraite	1.1		T-bicolor_retraite-root			Référentiel/Gestion	Taux Support			FE_TauxSupport				
retraite_cnt_remplace	/group/bicolor_retraite/raw/	/group/bicolor_retraite/data/retraite_cnt_remplace	/yyyy/mm/dd	root	TAIGAAXA_BI_CRR_yyyymmdd.csv	ISO-8859-1	;	\n	D	F	yes	no	header	bicolor_retraite	1.2		T-bicolor_retraite-root			MD	contrat remplacé remplaçant			FE_cnt_remplace				
retraite_comptabilite	/group/bicolor_retraite/raw/	/group/bicolor_retraite/data/retraite_comptabilite	/yyyy/mm/dd	root	TAIGAAXA_BI_CPT_yyyymmdd.csv	ISO-8859-1	;	\n	D	D	yes	no	header	bicolor_retraite	1.2		T-bicolor_retraite-root			Facts	Flux comptabilité opera			FE_comptabilite				
retraite_liste_cd_lib	/group/bicolor_retraite/raw/	/group/bicolor_retraite/data/retraite_liste_cd_lib	/yyyy/mm/dd	root	TAIGAAXA_BI_LST_yyyymmdd.csv	ISO-8859-1	;	\n	OD	F	no	no		bicolor_retraite	1.2		T-bicolor_retraite-root			MD	Code libellés utilisés sur le périmètre retraite			FE_liste_cd_lib				
