shp_md_chrt_accts_text	/group/pisquare/raw/master	/group/pisquare/data/shp_md_chrt_accts_text	/yyyy/mm/dd/hhmmss	master	SHP_MD_3_0CHRT_ACCTS_TEXT_yyyymmdd_hhmmss.CSV	UTF-8	|	\n	OD	F	no	no		pisquare	1.1	2	T-pisquare-master		SHIP - Master Data	MD	Chart of accounts	T	ZITSDE030	0CHRT_ACCTS_TEXT	3	hadoop fs -mkdir /group/pisquare/raw/master	hadoop fs -mkdir /group/pisquare/data/shp_md_chrt_accts_text	hadoop fs -moveFromLocal  /group/pisquare/raw/master
shp_md_co_area_text	/group/pisquare/raw/master	/group/pisquare/data/shp_md_co_area_text	/yyyy/mm/dd/hhmmss	master	SHP_MD_3_0CO_AREA_TEXT_yyyymmdd_hhmmss.CSV	UTF-8	|	\n	OD	F	no	no		pisquare	1.1	2	T-pisquare-master		SHIP - Master Data	MD	Controlling area	T	ZITSDE031	0CO_AREA_TEXT	2	hadoop fs -mkdir /group/pisquare/raw/master	hadoop fs -mkdir /group/pisquare/data/shp_md_co_area_text	hadoop fs -moveFromLocal  /group/pisquare/raw/master
shp_md_comp_code_attr	/group/pisquare/raw/master	/group/pisquare/data/shp_md_comp_code_attr	/yyyy/mm/dd/hhmmss	master	SHP_MD_3_0COMP_CODE_ATTR_yyyymmdd_hhmmss.CSV	UTF-8	|	\n	OD	F	no	no		pisquare	1.1	1	T-pisquare-master	SHP_MD_3_0COMP_CODE_ATTR_20140807_152707.csv	SHIP - Master Data	MD	Company code	A	ZIASDE032	0COMP_CODE_ATTR	36	hadoop fs -mkdir /group/pisquare/raw/master	hadoop fs -mkdir /group/pisquare/data/shp_md_comp_code_attr	hadoop fs -moveFromLocal SHP_MD_3_0COMP_CODE_ATTR_20140807_152707.csv /group/pisquare/raw/master
shp_md_comp_code_text	/group/pisquare/raw/master	/group/pisquare/data/shp_md_comp_code_text	/yyyy/mm/dd/hhmmss	master	SHP_MD_3_0COMP_CODE_TEXT_yyyymmdd_hhmmss.CSV	UTF-8	|	\n	OD	F	no	no		pisquare	1.1	1	T-pisquare-master	SHP_MD_3_0COMP_CODE_TEXT_20140807_152704.csv	SHIP - Master Data	MD	Company code	T	ZITSDE032	0COMP_CODE_TEXT	36	hadoop fs -mkdir /group/pisquare/raw/master	hadoop fs -mkdir /group/pisquare/data/shp_md_comp_code_text	hadoop fs -moveFromLocal SHP_MD_3_0COMP_CODE_TEXT_20140807_152704.csv /group/pisquare/raw/master
shp_md_fs_ctr_tp_text	/group/pisquare/raw/master	/group/pisquare/data/shp_md_fs_ctr_tp_text	/yyyy/mm/dd/hhmmss	master	SHP_MD_3_0FS_CTR_TP_TEXT_yyyymmdd_hhmmss.CSV	UTF-8	|	\n	OD	F	no	no		pisquare	1.1	1	T-pisquare-master	SHP_MD_3_0FS_CTR_TP_TEXT_20140807_152707.csv	SHIP - Master Data	MD	Contract Type	T	ZITSDE034	0FS_CTR_TP_TEXT	3	hadoop fs -mkdir /group/pisquare/raw/master	hadoop fs -mkdir /group/pisquare/data/shp_md_fs_ctr_tp_text	hadoop fs -moveFromLocal SHP_MD_3_0FS_CTR_TP_TEXT_20140807_152707.csv /group/pisquare/raw/master
shp_md_fs_sec_ct_attr	/group/pisquare/raw/master	/group/pisquare/data/shp_md_fs_sec_ct_attr	/yyyy/mm/dd/hhmmss	master	SHP_MD_3_0FS_SEC_CT_ATTR_yyyymmdd_hhmmss.CSV	UTF-8	|	\n	OD	F	no	no		pisquare	1.1	1	T-pisquare-master	SHP_MD_3_0FS_SEC_CT_ATTR_20140807_152714.csv	SHIP - Master Data	MD	Product Category	A	ZATSDE035	0FS_SEC_CT_ATTR	2	hadoop fs -mkdir /group/pisquare/raw/master	hadoop fs -mkdir /group/pisquare/data/shp_md_fs_sec_ct_attr	hadoop fs -moveFromLocal SHP_MD_3_0FS_SEC_CT_ATTR_20140807_152714.csv /group/pisquare/raw/master
shp_md_fs_sec_ct_text	/group/pisquare/raw/master	/group/pisquare/data/shp_md_fs_sec_ct_text	/yyyy/mm/dd/hhmmss	master	SHP_MD_3_0FS_SEC_CT_TEXT_yyyymmdd_hhmmss.CSV	UTF-8	|	\n	OD	F	no	no		pisquare	1.1	1	T-pisquare-master	SHP_MD_3_0FS_SEC_CT_TEXT_20140807_152718.csv	SHIP - Master Data	MD	Product Category	T	ZITSDE035	0FS_SEC_CT_TEXT	2	hadoop fs -mkdir /group/pisquare/raw/master	hadoop fs -mkdir /group/pisquare/data/shp_md_fs_sec_ct_text	hadoop fs -moveFromLocal SHP_MD_3_0FS_SEC_CT_TEXT_20140807_152718.csv /group/pisquare/raw/master
shp_md_fs_val_ar_text	/group/pisquare/raw/master	/group/pisquare/data/shp_md_fs_val_ar_text	/yyyy/mm/dd/hhmmss	master	SHP_MD_3_0FS_VAL_AR_TEXT_yyyymmdd_hhmmss.CSV	UTF-8	|	\n	OD	F	no	no		pisquare	1.1	1	T-pisquare-master	SHP_MD_3_0FS_VAL_AR_TEXT_20140807_152725.csv	SHIP - Master Data	MD	Valuation Area	T	ZITSDE036	0FS_VAL_AR_TEXT	2	hadoop fs -mkdir /group/pisquare/raw/master	hadoop fs -mkdir /group/pisquare/data/shp_md_fs_val_ar_text	hadoop fs -moveFromLocal SHP_MD_3_0FS_VAL_AR_TEXT_20140807_152725.csv /group/pisquare/raw/master
shp_md_fs_val_cl_text	/group/pisquare/raw/master	/group/pisquare/data/shp_md_fs_val_cl_text	/yyyy/mm/dd/hhmmss	master	SHP_MD_3_0FS_VAL_CL_TEXT_yyyymmdd_hhmmss.CSV	UTF-8	|	\n	OD	F	no	no		pisquare	1.1	1	T-pisquare-master	SHP_MD_3_0FS_VAL_CL_TEXT_20140807_152728.csv	SHIP - Master Data	MD	Valuation Class	T	ZITSDE037	0FS_VAL_CL_TEXT	4	hadoop fs -mkdir /group/pisquare/raw/master	hadoop fs -mkdir /group/pisquare/data/shp_md_fs_val_cl_text	hadoop fs -moveFromLocal SHP_MD_3_0FS_VAL_CL_TEXT_20140807_152728.csv /group/pisquare/raw/master
shp_md_gl_account_attr	/group/pisquare/raw/master	/group/pisquare/data/shp_md_gl_account_attr	/yyyy/mm/dd/hhmmss	master	SHP_MD_2_0GL_ACCOUNT_ATTR_yyyymmdd_hhmmss.CSV	UTF-8	|	\n	W	F	no	no		pisquare	1.1	2C	T-pisquare-master		SHIP - Master Data	MD	G/L Account	A	ZIASDE008	0GL_ACCOUNT_ATTR	7	hadoop fs -mkdir /group/pisquare/raw/master	hadoop fs -mkdir /group/pisquare/data/shp_md_gl_account_attr	hadoop fs -moveFromLocal  /group/pisquare/raw/master
